Symbol,Date,Close
XOM,7/16/2014,103.77
XOM,7/17/2014,102.31
XOM,7/18/2014,102.73
XOM,7/21/2014,103.08
XOM,7/22/2014,103.54
XOM,7/23/2014,104.25
XOM,7/24/2014,104.28
XOM,7/25/2014,103.18
XOM,7/28/2014,104.37
XOM,7/29/2014,103.55
XOM,7/30/2014,103.25
XOM,7/31/2014,98.94
XOM,8/1/2014,98.8
XOM,8/4/2014,100.13
XOM,8/5/2014,98.2
XOM,8/6/2014,98.98
XOM,8/7/2014,98.27
XOM,8/8/2014,99.74
XOM,8/11/2014,98.73
XOM,8/12/2014,98.49
XOM,8/13/2014,99.09
XOM,8/14/2014,99.09
XOM,8/15/2014,99.03
XOM,8/18/2014,99.52
XOM,8/19/2014,99.49
XOM,8/20/2014,99.7
XOM,8/21/2014,99.28
XOM,8/22/2014,98.5
XOM,8/25/2014,98.75
XOM,8/26/2014,99.64
XOM,8/27/2014,99.53
XOM,8/28/2014,99.57
XOM,8/29/2014,99.46
XOM,9/2/2014,98.49
XOM,9/3/2014,99.11
XOM,9/4/2014,98.36
XOM,9/5/2014,99.26
XOM,9/8/2014,97.77
XOM,9/9/2014,97.39
XOM,9/10/2014,96.81
XOM,9/11/2014,97.03
XOM,9/12/2014,95.78
XOM,9/15/2014,96.29
XOM,9/16/2014,97.43
XOM,9/17/2014,97.08
XOM,9/18/2014,96.61
XOM,9/19/2014,97.12
XOM,9/22/2014,96.54
XOM,9/23/2014,96.03
XOM,9/24/2014,95.82
XOM,9/25/2014,94.25
XOM,9/26/2014,95.43
XOM,9/29/2014,94.43
XOM,9/30/2014,94.05
XOM,10/1/2014,92.86
XOM,10/2/2014,93.3
XOM,10/3/2014,93.92
XOM,10/6/2014,94.52
XOM,10/7/2014,93.37
XOM,10/8/2014,94.61
XOM,10/9/2014,91.82
XOM,10/10/2014,91.6
XOM,10/13/2014,90.84
XOM,10/14/2014,90.55
XOM,10/15/2014,90.22
XOM,10/16/2014,90.6
XOM,10/17/2014,91.21
XOM,10/20/2014,91.77
XOM,10/21/2014,93.65
XOM,10/22/2014,93.13
XOM,10/23/2014,94.11
XOM,10/24/2014,94.49
XOM,10/27/2014,93.71
XOM,10/28/2014,95.1
XOM,10/29/2014,94.59
XOM,10/30/2014,94.45
XOM,10/31/2014,96.71
XOM,11/3/2014,95.26
XOM,11/4/2014,94.52
XOM,11/5/2014,95.07
XOM,11/6/2014,96.26
XOM,11/7/2014,96.59
XOM,11/10/2014,96.28
XOM,11/11/2014,96.41
XOM,11/12/2014,95.38
XOM,11/13/2014,94.66
XOM,11/14/2014,95.09
XOM,11/17/2014,95.11
XOM,11/18/2014,94.87
XOM,11/19/2014,95.61
XOM,11/20/2014,95.82
XOM,11/21/2014,96.81
XOM,11/24/2014,95.72
XOM,11/25/2014,94.78
XOM,11/26/2014,94.48
XOM,11/28/2014,90.54
XOM,12/1/2014,92.35
XOM,12/2/2014,94.19
XOM,12/3/2014,94.95
XOM,12/4/2014,94.37
XOM,12/5/2014,93.82
XOM,12/8/2014,91.7
XOM,12/9/2014,91.38
XOM,12/10/2014,88.67
XOM,12/11/2014,89.2
XOM,12/12/2014,86.6
XOM,12/15/2014,86.9
XOM,12/16/2014,86.41
XOM,12/17/2014,89.02
XOM,12/18/2014,91.16
XOM,12/19/2014,93.64
XOM,12/22/2014,93.33
XOM,12/23/2014,94.59
XOM,12/24/2014,93.78
XOM,12/26/2014,93.21
XOM,12/29/2014,93.07
XOM,12/30/2014,93.02
XOM,12/31/2014,92.45
XOM,1/2/2015,92.83
XOM,1/5/2015,90.29
XOM,1/6/2015,89.81
XOM,1/7/2015,90.72
XOM,1/8/2015,92.23
XOM,1/9/2015,92.1
XOM,1/12/2015,90.33
XOM,1/13/2015,90
XOM,1/14/2015,89.74
XOM,1/15/2015,88.96
XOM,1/16/2015,91.12
XOM,1/20/2015,91.09
XOM,1/21/2015,91.87
XOM,1/22/2015,92.87
XOM,1/23/2015,90.89
XOM,1/26/2015,91.76
XOM,1/27/2015,90.95
XOM,1/28/2015,87.95
XOM,1/29/2015,87.58
XOM,1/30/2015,87.42
XOM,2/2/2015,89.58
XOM,2/3/2015,92.25
XOM,2/4/2015,91.46
XOM,2/5/2015,92.36
XOM,2/6/2015,91.5
XOM,2/9/2015,91.56
XOM,2/10/2015,91.01
XOM,2/11/2015,90.6
XOM,2/12/2015,92.37
XOM,2/13/2015,93.37
XOM,2/17/2015,93.05
XOM,2/18/2015,91.01
XOM,2/19/2015,89.44
XOM,2/20/2015,89.92
XOM,2/23/2015,89.01
XOM,2/24/2015,89.42
XOM,2/25/2015,89.6
XOM,2/26/2015,88.65
XOM,2/27/2015,88.54
XOM,3/2/2015,88.04
XOM,3/3/2015,87.62
XOM,3/4/2015,87.18
XOM,3/5/2015,86.74
XOM,3/6/2015,85.63
XOM,3/9/2015,85.16
XOM,3/10/2015,84.26
XOM,3/11/2015,84.02
XOM,3/12/2015,84.22
XOM,3/13/2015,83.87
XOM,3/16/2015,84.76
XOM,3/17/2015,84.08
XOM,3/18/2015,86.07
XOM,3/19/2015,84.41
XOM,3/20/2015,84.54
XOM,3/23/2015,85.43
XOM,3/24/2015,84.52
XOM,3/25/2015,84.86
XOM,3/26/2015,84.32
